name_ar,name_en,caza_ar,is_municipality,source,added_at
نجارية,Najjariyeh,صيدا,no,Towns.xlsx,2026-05-31
بجاجة,Bajjaje,بعلبك,no,Towns.xlsx,2026-05-31
بزعون,Bazaaoun,بشري,yes,Towns.xlsx,2026-05-31
عين السنديانة,Aain Es-Sindiane,المتن,no,Towns.xlsx,2026-05-31
مينا طرابلس 2,Mina N:2,طرابلس,no,Towns.xlsx,2026-05-31
قرطادة,Qordata,بعبدا,no,Towns.xlsx,2026-05-31
دكوانة,Dekouaneh,المتن,no,Towns.xlsx,2026-05-31
حاريص,Haris,بنت جبيل,yes,Towns.xlsx,2026-05-31
عرب صاليم,Aarab Salim,النبطية,no,Towns.xlsx,2026-05-31
كفردلاقوس,Kfardlaqous,زغرتا,no,Towns.xlsx,2026-05-31
عدّوسية,Aadoussiyeh,صيدا,yes,Towns.xlsx,2026-05-31
زحلة معلقة أراضي,Zahleh El-Maallaqa,زحلة,no,Towns.xlsx,2026-05-31
قرية صيدا,Qraiyet Saida,صيدا,no,Towns.xlsx,2026-05-31
بعدران,Baadarane,الشوف,no,Towns.xlsx,2026-05-31
بابلية,Babliyeh,صيدا,no,Towns.xlsx,2026-05-31
زبقين,Zebqine,صور,yes,Towns.xlsx,2026-05-31
نخلة,Nakhleh,الكورة,no,Towns.xlsx,2026-05-31
حارة صيدا,Haret Saida,صيدا,yes,Towns.xlsx,2026-05-31
مركبا,Markaba,مرجعيون,yes,Towns.xlsx,2026-05-31
بعبدات,Baabdat,المتن,yes,Towns.xlsx,2026-05-31
صور,Sour,صور,yes,Towns.xlsx,2026-05-31
عين الصفصاف المتن,Aain es-Sofsaf El-Matn,المتن,no,Towns.xlsx,2026-05-31
مشرفه,Mcherfeh,عاليه,no,Towns.xlsx,2026-05-31
حدت بعلبك,Hadath Baalbek,,no,Towns.xlsx,2026-05-31
جرجوع,Jarjouaa,النبطية,yes,Towns.xlsx,2026-05-31
شوير,Choueir,المتن,no,Towns.xlsx,2026-05-31
المقيطع,Mqaiteaa,عكار,yes,Towns.xlsx,2026-05-31
وسط بيروت,Beirut Central District,بيروت,no,Towns.xlsx,2026-05-31
معاصر بيت الدين,Maasser Beit Ed-Dine,الشوف,yes,Towns.xlsx,2026-05-31
دقون,Daqqoun,عاليه,yes,Towns.xlsx,2026-05-31
دبية,Dibbiyeh,,no,Towns.xlsx,2026-05-31
جورة بدران,Jouret Bedrane,كسروان,yes,Towns.xlsx,2026-05-31
شيحين,Chihine,صور,no,Towns.xlsx,2026-05-31
فتقا,Bourj El-Ftouh,كسروان,yes,Towns.xlsx,2026-05-31
بكا,Bakka,راشيا,yes,Towns.xlsx,2026-05-31
زوطر الشرقية,Zaoutar Ech-Charqiyeh,النبطية,yes,Towns.xlsx,2026-05-31
بوار,Bouar,كسروان,no,Towns.xlsx,2026-05-31
كفرفيلا,Kfarfila,النبطية,yes,Towns.xlsx,2026-05-31
قرطبا,Qartaba,جبيل,yes,Towns.xlsx,2026-05-31
عين عرب راشيا,Aain Aarab Rachaya,راشيا,no,Towns.xlsx,2026-05-31
حياطة,Hayata,كسروان,yes,Towns.xlsx,2026-05-31
جب جنين,Joubb Jannine,البقاع الغربي,yes,Towns.xlsx,2026-05-31
حلباتا,Halbata,بعلبك,no,Towns.xlsx,2026-05-31
إيعال,Iaal,زغرتا,yes,Towns.xlsx,2026-05-31
كفر دبش,Kfar Dabach,بعلبك,no,Towns.xlsx,2026-05-31
لالا,Lala,البقاع الغربي,yes,Towns.xlsx,2026-05-31
مركبتا,Merkebta,المنية الضنية,yes,Towns.xlsx,2026-05-31
سبلين,Sibline,الشوف,yes,Towns.xlsx,2026-05-31
عين سعادة,Aain Saadeh,المتن,yes,Towns.xlsx,2026-05-31
دير قطِين,Deir El Qattine,جزين,no,Towns.xlsx,2026-05-31
عينطورين,Aintourine,زغرتا,yes,Towns.xlsx,2026-05-31
بطحا,Batha,كسروان,yes,Towns.xlsx,2026-05-31
بيت كساب,Beit Kassab,البترون,no,Towns.xlsx,2026-05-31
لويزة بعبدا,Louayzeh Baabda,,no,Towns.xlsx,2026-05-31
اغميد,Ighmid,عاليه,yes,Towns.xlsx,2026-05-31
منجز,Mounjez,عكار,yes,Towns.xlsx,2026-05-31
نهر ابراهيم,Nahr Ibrahim,جبيل,yes,Towns.xlsx,2026-05-31
روضة اسطبل,Raouda (Istabel),البقاع الغربي,no,Towns.xlsx,2026-05-31
قليعات كسروان,Qleiaat Kesrouane,كسروان,no,Towns.xlsx,2026-05-31
دوما,Douma,البترون,yes,Towns.xlsx,2026-05-31
عين كسور,Aain Ksour,عاليه,yes,Towns.xlsx,2026-05-31
شربيلا,Charbila,عكار,yes,Towns.xlsx,2026-05-31
الكحاله,Kahhaleh,عاليه,yes,Towns.xlsx,2026-05-31
قناريت,Qennarit,صيدا,yes,Towns.xlsx,2026-05-31
زحلة مار أنطونيوس,Zahlé Mar Antonios,زحلة,no,Towns.xlsx,2026-05-31
حربتا,Harabta,بعلبك,yes,Towns.xlsx,2026-05-31
طورزا,Tourza,بشري,yes,Towns.xlsx,2026-05-31
حارة الست,Haret Es-Sit,بعبدا,yes,Towns.xlsx,2026-05-31
قعقعية الصنوبر,Qaaqaiyet Es-Snaoubar,صيدا,yes,Towns.xlsx,2026-05-31
طيبة مرجعيون,Taybet Matjaayoun,مرجعيون,no,Towns.xlsx,2026-05-31
خربة قنافار,Khirbet Qanafar,البقاع الغربي,yes,Towns.xlsx,2026-05-31
القلعة بعبدا,Qalaat Baabda,بعبدا,no,Towns.xlsx,2026-05-31
طير حرفا,Tayr Harfa,صور,no,Towns.xlsx,2026-05-31
عيتا الفخار,Aayta El-Foukhar,راشيا,yes,Towns.xlsx,2026-05-31
مغيرية  الشوف,Mghairiyeh Ech-Chouf,الشوف,no,Towns.xlsx,2026-05-31
ميفوق,Mayfouq,جبيل,no,Towns.xlsx,2026-05-31
عين قني,Aain Qania,الشوف,yes,Towns.xlsx,2026-05-31
غلبون,Ghalboun,جبيل,yes,Towns.xlsx,2026-05-31
شبانية,Chbaniyeh,بعبدا,no,Towns.xlsx,2026-05-31
قبريخا,Qabrikha,مرجعيون,yes,Towns.xlsx,2026-05-31
برج قلويه,Borj qalaouiyeh,بنت جبيل,no,Towns.xlsx,2026-05-31
شان,Chane,عكار,yes,Towns.xlsx,2026-05-31
كفريا بقاع الغربي,Kafraiya West Bekaa,البقاع الغربي,no,Towns.xlsx,2026-05-31
كفر تي زرعيا,Kfar Tay Kesrouane,كسروان,no,Towns.xlsx,2026-05-31
تمنين الفوقا,Temnine El-Faouqa,بعلبك,yes,Towns.xlsx,2026-05-31
سحمر,Sohmor,البقاع الغربي,yes,Towns.xlsx,2026-05-31
شحور,Chehour,صور,yes,Towns.xlsx,2026-05-31
حوش النبي,Haouch En-Nabi,بعلبك,yes,Towns.xlsx,2026-05-31
زغرين,Zighrine,الهرمل,no,Towns.xlsx,2026-05-31
عبا,Aabba,النبطية,yes,Towns.xlsx,2026-05-31
أنفه,Enfeh,الكورة,yes,Towns.xlsx,2026-05-31
النفيسة,Nfisseh,عكار,yes,Towns.xlsx,2026-05-31
نيحا,Niha El-Chouf,الشوف,yes,Towns.xlsx,2026-05-31
حازمية المنيه,Hazmiyet-Miniyeh,المنية الضنية,no,Towns.xlsx,2026-05-31
مار موسى الدوار,Mar Moussa Ed-Douar,المتن,no,Towns.xlsx,2026-05-31
عمروسية الشويفات,Choueifat El-Aamrousiyeh,عاليه,no,Towns.xlsx,2026-05-31
القعقور,Qaaqour,المتن,yes,Towns.xlsx,2026-05-31
حصرايل,Hasrayel,جبيل,yes,Towns.xlsx,2026-05-31
حوش سنيد,Haouch Snaid,بعلبك,yes,Towns.xlsx,2026-05-31
سعيدة,Saaideh,بعلبك,no,Towns.xlsx,2026-05-31
شويت,Chouit,بعبدا,yes,Towns.xlsx,2026-05-31
ترتج,Tartij,جبيل,yes,Towns.xlsx,2026-05-31
